,OBJECTID,UNITID,SIGID,MAINSTREET,CROSSSTREE,OWNER2,ROUTE,MILEPOINT,DESCRIPTIO,TIMES,OWNER,TYPE,INTID,ATMSID,geometry
305,306,MPW016597,SIG016597,EVERGREEN,SHELBYVILLE,S,US-60,10.39,EVERGREEN @ SHELBYVILLE,24 HOURS,KYTC,1,27061990594,,POINT (-85.53150479147367 38.24864185409877)
306,307,MPW009976,SIG009976,CANNONS,WINCHESTER,S,KY-2048,1.45,CANNONS @ WINCHESTER,24 HOURS,KYTC,1,28840936722,,POINT (-85.65931231206751 38.2380565964632)
307,308,MPW011619,SIG011619,BRECKENRIDGE,HIKES,S,KY-1932,2.695,BRECKENRIDGE @ HIKES,24 HOURS,KYTC,1,32370656293,,POINT (-85.62859093257418 38.2181548583249)
308,309,MPW011722,SIG011722,BRECKENRIDGE,SUDBURY,S,KY-1932,1.99,BRECKENRIDGE @ SUDBURY,24 HOURS,KYTC,1,35270656325,,POINT (-85.6265674802229 38.20868787241671)
309,310,MPW009510,SIG009510,BARDSTOWN,HEATHER,S,US-31E,11.563,BARDSTOWN @ HEATHER,24 HOURS,KYTC,1,36350384286,,POINT (-85.66667113039647 38.20564233610404)
310,311,MPW009903,SIG009903,BARDSTOWN,HIKES,S,KY-2251,1.0,BARDSTOWN @ HIKES,24 HOURS,KYTC,1,38600384293,,POINT (-85.65999979209892 38.1990449618004)
311,312,MPW016345,SIG016345,BLANKENBAKER,COMMONWEALTH,S,KY-913,2.11,BLANKENBAKER @ COMMONWEALTH,24 HOURS,KYTC,1,48797624835,,POINT (-85.53901877370359 38.21460243393296)
312,313,MPW013869,SIG013869,BROWNSBORO,GOOSE CREEK,S,KY-22,2.33,BROWNSBORO @ GOOSE CREEK,24 HOURS,KYTC,1,45110724258,,POINT (-85.59268223886384 38.3004414779663)
313,314,MPW012164,SIG012164,MCMAHAN,TAYLORSVILLE,S,KY-155,12.987,MCMAHAN @ TAYLORSVILLE,24 HOURS,KYTC,1,46844293639,,POINT (-85.61949925124296 38.21954045268093)
314,315,MPW012367,SIG012367,HOUSTON,TAYLORSVILLE,M,,,HOUSTON @ TAYLORSVILLE,24 HOURS,METRO,1,46903001639,,POINT (-85.61611198728103 38.219386737321166)
315,316,MPW009547,SIG009547,CANNONS,LEXINGTON,S,US-60,9.968,CANNONS @ LEXINGTON,24 HOURS,KYTC,1,57850936383,,POINT (-85.66693391324038 38.2496222579532)
316,317,MPW014649,SIG014649,MERIONETH,TAYLORSVILLE,S,KY-155,10.26,MERIONETH @ TAYLORSVILLE,24 HOURS,KYTC,1,49973096639,,POINT (-85.57686994508278 38.20358240697158)
317,318,MPW012088,SIG012088,U S HIGHWAY 42,WOLF PEN BRANCH,S,US-42,8.8,U S HIGHWAY 42 @ WOLF PEN BRANCH,24 HOURS,KYTC,1,51416712725,,POINT (-85.62256220689873 38.32153708965253)
318,319,MPW011077,SIG011077,DUTCHMANS PKY,DUTCHMANS LN,M,,,DUTCHMANS PKY @ DUTCHMANS LN,24 HOURS,METRO,1,54581717946,,POINT (-85.639823817067 38.230978404061)
319,320,MPW014279,SIG014279,BUNSEN,HURSTBOURNE,S,KY-1747,11.46,BUNSEN @ HURSTBOURNE,24 HOURS,KYTC,1,56058870912,,POINT (-85.58414213662533 38.21891486110477)
320,321,MPW016201,SIG016201,FINCHLEY,BLANKENBAKER,S,KY-913,3.63,FINCHLEY @ BLANKENBAKER,24 HOURS,KYTC,1,64582215762,,POINT (-85.54397595071592 38.235908446808644)
321,322,MPW014594,SIG014594,HURSTBOURNE,I 64 RAMP,S,KY-1747,12.0,HURSTBOURNE @ I 64 RAMP,24 HOURS,KYTC,1,67129126999,,POINT (-85.57834238175144 38.22463648783858)
322,323,MPW014587,SIG014587,SPRINGDALE,PARK PLAZA,M,,,SPRINGDALE @ PARK PLAZA,24 HOURS,METRO,1,78286100D52,,POINT (-85.58000144792791 38.30908413585711)
323,324,MPW011155,SIG011155,BARDSTOWN,FEGENBUSH,S,US-31E,9.44,BARDSTOWN @ FEGENBUSH,24 HOURS,KYTC,1,2,,POINT (-85.63789909141569 38.18721539709984)
324,325,MPW010230,SIG010230,PROGRESS,BUECHEL BANK,M,,,PROGRESS @ BUECHEL BANK,24 HOURS,METRO,1,2,,POINT (-85.65317017099183 38.178191742921555)
325,326,MPW009855,SIG009855,SHEPHERDSVILLE,WHISPERING HILLS,S,KY-2052,0.69,SHEPHERDSVILLE @ WHISPERING HILLS,24 HOURS,KYTC,1,93355945716,,POINT (-85.65991935888856 38.14861466517257)
326,327,MPW012304,SIG012304,FEGENBUSH,WATTERSON,S,KY-1065,10.09,FEGENBUSH @ WATTERSON,24 HOURS,KYTC,1,95042163729,,POINT (-85.6156588181044 38.13858769224635)
327,328,MPW009307,SIG009307,JUDGE,OUTER,S,KY-1065,7.0,JUDGE @ OUTER,24 HOURS,KYTC,1,95553370481,,POINT (-85.66946739550418 38.13778058022055)
328,329,MPW009276,SIG009276,MUD,PRESTON,S,KY-61,0.65,MUD @ PRESTON,24 HOURS,KYTC,1,108654487514,,POINT (-85.66916943960261 38.09283391297172)
329,330,MPW009566,SIG009566,INDIAN,NEWBURG,S,KY-1703,0.5,INDIAN @ NEWBURG,24 HOURS,KYTC,1,119703149455,,POINT (-85.66533857538592 38.18462381506148)
330,331,MPW002471,SIG002471,41ST,MARKET,M,,,41ST @ MARKET,24 HOURS,METRO,1,124252285421,,POINT (-85.81609407965318 38.2626419256995)
331,332,MPW003560,SIG003560,JEFFERSON,26TH,M,,,JEFFERSON @ 26TH,24 HOURS,METRO,1,126613327658,,POINT (-85.7939495217827 38.25794052965566)
332,333,MPW004642,SIG004642,JEFFERSON,16TH,M,,,JEFFERSON @ 16TH,24 HOURS,METRO,1,127553327600,,POINT (-85.77686271213422 38.25602880212226)
333,334,MPW003710,SIG003710,24TH,MUHAMMAD ALI,M,,,24TH @ MUHAMMAD ALI,24 HOURS,METRO,1,127876576701,,POINT (-85.79149256899383 38.254901488374784)
334,335,MPW003940,SIG003940,CHESTNUT,22ND,S,US-31W,19.95,CHESTNUT @ 22ND,24 HOURS,KYTC,1,128691114658,,POINT (-85.78767393769697 38.25224766244198)
335,336,MPW004012,SIG004012,MAGAZINE,DR W J HODGE,S,US-31W,19.76,MAGAZINE @ DR W J HODGE,24 HOURS,KYTC,1,129214128657,,POINT (-85.78625020624422 38.25075948975675)
336,337,MPW007221,SIG007221,PAYNE,SPRING,M,,,PAYNE @ SPRING,24 HOURS,METRO,1,129244996807,,POINT (-85.71887366447923 38.25157774303557)
337,338,MPW003473,SIG003473,BROADWAY,26TH,M,,,BROADWAY @ 26TH,24 HOURS,METRO,1,129840702658,,POINT (-85.79488315135404 38.24945505125485)
338,339,MPW003998,SIG003998,BROADWAY,DR W J HODGE,S,US 150,0.825,BROADWAY @ DR W J HODGE,24 HOURS,KYTC,1,129920702657,,POINT (-85.7865291879993 38.24917166840472)
339,340,MPW005697,SIG005697,4TH,LIBRARY,M,,,4TH @ LIBRARY,24 HOURS,METRO,1,131352305384,,POINT (-85.75870545724266 38.24424781947949)
340,341,MPW005772,SIG005772,LIBRARY,3RD,S,KY-1020,11.968,LIBRARY @ 3RD,24 HOURS,KYTC,1,131433847643,,POINT (-85.75706411640552 38.24404655648592)
341,342,MPW003198,SIG003198,GREENWOOD,28TH,M,,,GREENWOOD @ 28TH,24 HOURS,METRO,1,131902651657,,POINT (-85.7995700509453 38.24227704505579)
342,343,MPW003811,SIG003811,GREENWOOD,22ND,S,US-31W,19.19,GREENWOOD @ 22ND,24 HOURS,KYTC,1,132292651658,,POINT (-85.78961239427956 38.24121252947897)
343,344,MPW004578,SIG004578,15TH,KENTUCKY,M,,,15TH @ KENTUCKY,24 HOURS,METRO,1,132302204353,,POINT (-85.77760677628132 38.24135509582381)
344,345,MPW002857,SIG002857,32ND,VIRGINIA,M,,,32ND @ VIRGINIA,24 HOURS,METRO,1,132896456687,,POINT (-85.80695001824918 38.23870416915119)
345,346,MPW003756,SIG003756,22ND,WILSON,S,US-31W,18.598000000000003,22ND @ WILSON,24 HOURS,KYTC,1,134246580721,,POINT (-85.79039389511424 38.23489856246925)
346,347,MPW006141,SIG006141,JACKSON,OAK,S,KY-61,11.524000000000001,JACKSON @ OAK,24 HOURS,KYTC,1,134753292471,,POINT (-85.7474909253191 38.23420295121084)
347,348,MPW006118,SIG006118,JACKSON,ORMSBY,S,KY-61,11.292,JACKSON @ ORMSBY,24 HOURS,KYTC,1,136033292480,,POINT (-85.74807745020867 38.23079644561756)
348,349,MPW005783,SIG005783,1ST,MAGNOLIA,M,,,1ST @ MAGNOLIA,24 HOURS,METRO,1,136752223413,,POINT (-85.75641011704964 38.22859082886195)
349,350,MPW005531,SIG005531,4TH,HILL,M,,,4TH @ HILL,24 HOURS,METRO,1,137522305293,,POINT (-85.76191301524295 38.22600452656865)
350,351,MPW005801,SIG005801,BROOK,1ST,M,,,BROOK @ 1ST,24 HOURS,METRO,1,139060707222,,POINT (-85.75580729194438 38.22268770488794)
351,352,MPW006584,SIG006584,BURNETT,TEXAS,M,,,BURNETT @ TEXAS,24 HOURS,METRO,1,139600774642,,POINT (-85.73750965258111 38.2217294990993)
352,353,MPW004044,SIG004044,7TH STREET,WATHEN,S,KY-1931,9.88,7TH STREET @ WATHEN,24 HOURS,KYTC,1,142645900705,,POINT (-85.78481221019797 38.212873541047195)
353,354,MPW007131,SIG007131,HESS,POPLAR LEVEL,S,KY-864,12.716000000000001,HESS @ POPLAR LEVEL,24 HOURS,KYTC,1,143492906512,,POINT (-85.72095537937636 38.21198153379228)
354,355,MPW007405,SIG007405,BELMAR,POPLAR LEVEL,S,KY-864,12.071,BELMAR @ POPLAR LEVEL,24 HOURS,KYTC,1,146560480512,,POINT (-85.71295962620725 38.20539762661005)
355,356,MPW017033,SIG017033,CHAMBERLAIN,FACTORY,S,KY-146,7.55,CHAMBERLAIN @ FACTORY,24 HOURS,KYTC,1,9111053210,,POINT (-85.51231325101809 38.28946528070246)
356,357,MPW009285,SIG009285,BLANKENBAKER,RIVER,M,,,BLANKENBAKER @ RIVER,24 HOURS,METRO,1,17500549819,,POINT (-85.67297599807532 38.29486937983322)
357,358,MPW010781,SIG010781,SHELBYVILLE,THIERMAN,S,US-60,4.12,SHELBYVILLE @ THIERMAN,24 HOURS,KYTC,1,25695940643,,POINT (-85.64507413377213 38.252073211461806)
358,359,MPW014600,SIG014600,TAMARISK,HURSTBOURNE,S,KY-1747,14.39,TAMARISK @ HURSTBOURNE,24 HOURS,KYTC,1,23888058912,,POINT (-85.57877258671869 38.25869929073754)
359,360,MPW011944,SIG011944,SHELBYVILLE,TEN PIN,S,US-60,5.3,SHELBYVILLE @ TEN PIN,24 HOURS,KYTC,1,26455940702,,POINT (-85.62362011305335 38.250271636253174)
360,361,MPW012609,SIG012609,NORWOOD,OXMOOR,S,US-60,5.86,NORWOOD @ OXMOOR,24 HOURS,KYTC,1,26674609483,,POINT (-85.61332975410663 38.24940705624078)
361,362,MPW011967,SIG011967,BRECKENRIDGE,MANNER DALE,S,KY-1932,1.5,BRECKENRIDGE @ MANNER DALE,24 HOURS,KYTC,1,37590656415,,POINT (-85.62240239954258 38.20257854610943)
362,363,MPW016588,SIG016588,MURPHY,WESTPORT,S,KY-1447,7.56,MURPHY @ WESTPORT,24 HOURS,KYTC,1,41854492713,,POINT (-85.53256922960811 38.30204107659411)
363,364,MPW012459,SIG012459,HERR,WESTPORT,S,KY-1447,2.67,HERR @ WESTPORT,24 HOURS,KYTC,1,43662901713,,POINT (-85.6156531780486 38.27021362772337)
364,365,MPW011323,SIG011323,HIKES,ROSS,M,,,ST JOHN PAUL II,24 HOURS,METRO,1,50802930562,,POINT (-85.63494076023139 38.2145656031552)
365,366,MPW011223,SIG011223,BROWNS,KRESGE,M,,,BROWNS @ KRESGE,24 HOURS,METRO,1,52900723408,,POINT (-85.63747008119685 38.23993373316418)
366,367,MPW015659,SIG015659,PLANTSIDE,WATTERSON,S,KY-1819,10.8,PLANTSIDE @ WATTERSON,24 HOURS,KYTC,1,54305094735,,POINT (-85.55916366281683 38.20816930543084)
367,368,MPW015234,SIG015234,ORMSBY STATION,HURSTBOURNE,S,KY-1747,15.13,ORMSBY STATION @ HURSTBOURNE,24 HOURS,KYTC,1,56038974912,,POINT (-85.56803746803998 38.26464201261716)
368,369,MPW014672,SIG014672,TIMBERWOOD,HURSTBOURNE,S,KY-1747,12.64,TIMBERWOOD @ HURSTBOURNE,24 HOURS,KYTC,1,65212445912,,POINT (-85.5770154915801 38.23394899503388)
369,370,MPW014921,SIG014921,WILDWOOD,SHELBYVILLE,S,US-60,8.06,WILDWOOD @ SHELBYVILLE,24 HOURS,KYTC,1,66403283594,,POINT (-85.57328772298612 38.24613060141451)
370,371,MPW015465,SIG015465,LA GRANGE,HURSTBOURNE RAMP,S,KY-146,3.59,LA GRANGE @ HURSTBOURNE RAMP,24 HOURS,KYTC,1,69293707E70,,POINT (-85.56427823959551 38.27092563438945)
371,372,MPW014062,SIG014062,HERMITAGE,WESTPORT,S,KY-1447,4.2,HERMITAGE @ WESTPORT,24 HOURS,KYTC,1,73092763713,,POINT (-85.58904000718194 38.28091650453248)
372,373,MPW012431,SIG012431,FOX HARBOR,U S HIGHWAY 42,S,US-42,10.33,FOX HARBOR @ U S HIGHWAY 42,24 HOURS,KYTC,1,76772380671,,POINT (-85.61748087805978 38.34243714671845)
373,374,MPW009716,SIG009716,HIKES,CHAMPIONS TRACE,S,KY-2052,4.07,HIKES @ CHAMPIONS TRACE,24 HOURS,KYTC,1,78062930380,,POINT (-85.66326195949357 38.196893909351665)
374,375,MPW010285,SIG010285,BARDSTOWN,SIX MILE,S,KY-2251,0.5,BARDSTOWN @ SIX MILE,24 HOURS,KYTC,1,82990384600,,POINT (-85.6526658866415 38.19505492974688)
375,376,MPW009515,SIG009515,OUTER,ROBBS,S,KY-1065,7.23,OUTER @ ROBBS,24 HOURS,KYTC,1,95524815554,,POINT (-85.66525768170138 38.1379559356949)
376,377,MPW009235,SIG009235,COOPER CHAPEL,PRESTON CROSSING,M,,,COOPER CHAPEL @ PRESTON CROSSING,24 HOURS,METRO,1,100331273D47,,POINT (-85.67030625341322 38.10383166703211)
377,378,MPW015532,SIG015532,TAYLORSVILLE,RUCKRIEGEL,S,KY-155,9.02,TAYLORSVILLE @ RUCKRIEGEL,24 HOURS,KYTC,1,117436394888,,POINT (-85.56170795215743 38.19062210309285)
378,379,MPW013548,SIG013548,WATTERSON,STONY BROOK,M,,,WATTERSON @ STONY BROOK,24 HOURS,METRO,1,118487355894,,POINT (-85.59602242327895 38.18376248279856)
379,380,MPW009357,SIG009357,ANTLE,PRESTON,S,KY-61,0.27,ANTLE @ PRESTON,24 HOURS,KYTC,1,120993424514,,POINT (-85.66768472406748 38.08750498238365)
380,381,MPW004772,SIG004772,W MAIN ST,N 15TH ST,S,US 31W,20.934,W MAIN ST @ N 15TH ST,24 HOURS,KYTC,1,126442203220,,POINT (-85.77474016465452 38.258636411508384)
381,382,MPW004420,SIG004420,18TH,JEFFERSON,M,,,18TH @ JEFFERSON,24 HOURS,METRO,1,127391883332,,POINT (-85.78019516698072 38.25640607373927)
382,383,MPW003344,SIG003344,28TH,MUHAMMAD ALI,M,,,28TH @ MUHAMMAD ALI,24 HOURS,METRO,1,127656570701,,POINT (-85.79722687242221 38.25553886902996)
383,384,MPW004050,SIG004050,DR W J HODGE,MUHAMMAD ALI,S,US-31W,20.1,DR W J HODGE @ MUHAMMAD ALI,24 HOURS,KYTC,1,128096574701,,POINT (-85.78563362225353 38.254252935995886)
384,385,MPW003322,SIG003322,CHESTNUT,28TH,M,,,CHESTNUT @ 28TH,24 HOURS,METRO,1,128331114657,,POINT (-85.79760785708605 38.25335455872053)
385,386,MPW004723,SIG004723,15TH,MUHAMMAD ALI,M,,,15TH @ MUHAMMAD ALI,24 HOURS,METRO,1,128512204701,,POINT (-85.77569891018737 38.25314589082872)
386,387,MPW003113,SIG003113,MAGAZINE,30TH,M,,,MAGAZINE @ 30TH,24 HOURS,METRO,1,128614128644,,POINT (-85.80114994473254 38.25241756575811)
387,388,MPW004695,SIG004695,CHESTNUT,15TH,M,,,CHESTNUT @ 15TH,24 HOURS,METRO,1,129181114220,,POINT (-85.77608310499305 38.25095990010062)
388,389,MPW002501,SIG002501,BROADWAY,38TH,M,,,BROADWAY @ 38TH,24 HOURS,METRO,1,129380702644,,POINT (-85.81511828168563 38.25013587502119)
389,390,MPW004655,SIG004655,BROADWAY,15TH,S,US 150,1.373,BROADWAY @ 15TH,24 HOURS,KYTC,1,130290702220,,POINT (-85.77655266609 38.24825921765827)
390,391,MPW004942,SIG004942,BROADWAY,12TH,S,US 150,1.649,BROADWAY @ 12TH,24 HOURS,KYTC,1,130450702656,,POINT (-85.77163164309184 38.24756869870457)
391,392,MPW003976,SIG003976,MAPLE,DR W J HODGE,S,US-31W,19.5,MAPLE @ DR W J HODGE,24 HOURS,KYTC,1,130554172657,,POINT (-85.78690136704795 38.24705136477397)
392,393,MPW003224,SIG003224,GARLAND,28TH,M,,,GARLAND @ 28TH,24 HOURS,METRO,1,131042482657,,POINT (-85.7990917114389 38.24497331540036)
393,394,MPW005621,SIG005621,5TH,YORK,M,,,5TH @ YORK,24 HOURS,METRO,1,131302207743,,POINT (-85.76037618172205 38.244396326670014)
394,395,MPW005684,SIG005684,BRECKINRIDGE,4TH,M,,,BRECKINRIDGE @ 4TH,24 HOURS,METRO,1,132200658230,,POINT (-85.75911804370479 38.24189759734691)
395,396,MPW003369,SIG003369,DUMESNIL,26TH,M,,,DUMESNIL @ 26TH,24 HOURS,METRO,1,133461698658,,POINT (-85.79634721851727 38.23694378123303)
396,397,MPW005834,SIG005834,1ST,ST CATHERINE,M,,,1ST @ ST CATHERINE,24 HOURS,METRO,1,133722223578,,POINT (-85.75494063196165 38.23690279377202)
397,398,MPW006153,SIG006153,JACKSON,ST CATHERINE,S,KY-61,11.616000000000001,JACKSON @ ST CATHERINE,24 HOURS,KYTC,1,134303292578,,POINT (-85.74729750028001 38.235334534596156)
398,399,MPW007709,SIG007709,BARDSTOWN,BONNYCASTLE,S,US-31E,14.383000000000001,BARDSTOWN @ BONNYCASTLE,24 HOURS,KYTC,1,136270384060,,POINT (-85.70484241685223 38.23079132966714)
399,400,MPW003583,SIG003583,HILL,22ND,S,US-31W,18.16,HILL @ 22ND,24 HOURS,KYTC,1,136502934658,,POINT (-85.79285369472763 38.22888409363438)
400,401,MPW007822,SIG007822,BARDSTOWN,MARYLAND,S,US-31E,14.192,BARDSTOWN @ MARYLAND,24 HOURS,KYTC,1,136820384424,,POINT (-85.7020777656014 38.229106696352765)
401,402,MPW004722,SIG004722,HILL,12TH,M,,,HILL @ 12TH,24 HOURS,METRO,1,136982934656,,POINT (-85.77517097945368 38.22742739111535)
402,403,MPW005771,SIG005771,W BURNETT AVE,S 1ST ST,M,,,W BURNETT AVE @ S 1ST ST,24 HOURS,METRO,1,137280774077,,POINT (-85.75671982862934 38.2267785161654)
403,404,MPW003428,SIG003428,ALGONQUIN,22ND,S,US-31W,17.734,ALGONQUIN @ 22ND,24 HOURS,KYTC,1,138490061658,,POINT (-85.79510352343785 38.22334918007095)
404,405,MPW002612,SIG002612,BELLS,CANE RUN,S,KY-1934,11.21,BELLS @ CANE RUN,24 HOURS,KYTC,1,139490478093,,POINT (-85.81245647645481 38.22109206204978)
405,406,MPW006914,SIG006914,CLARKS,POPLAR LEVEL,S,KY-864,13.415000000000001,CLARKS @ POPLAR LEVEL,24 HOURS,KYTC,1,140381158512,,POINT (-85.728866884499 38.219913068792536)
406,407,MPW005391,SIG005391,4TH,INDUSTRY,M,,,4TH @ INDUSTRY,24 HOURS,METRO,1,142322305316,,POINT (-85.76403978677273 38.21387141174826)
407,408,MPW005960,SIG005960,CRITTENDEN,EASTERN,S,US-60,4.038,CRITTENDEN @ EASTERN,24 HOURS,KYTC,1,143501342183,,POINT (-85.75125560307958 38.21157731511745)
408,409,MPW005459,SIG005459,3RD,WINKLER,S,US-60,3.157,3RD @ WINKLER,24 HOURS,KYTC,1,144126438723,,POINT (-85.76298508293111 38.21015291822239)
409,410,MPW005304,SIG005304,4TH,HEYWOOD,M,,,4TH @ HEYWOOD,24 HOURS,METRO,1,145982305290,,POINT (-85.76534281896404 38.20641565153939)
410,411,MPW005475,SIG005475,GARRETT,TULANE,M,,,GARRETT @ TULANE,24 HOURS,METRO,1,148572696655,,POINT (-85.76245302878985 38.19951592589094)
411,412,MPW004181,SIG004181,LONGFIELD,TAYLOR,S,US-60,1.62,LONGFIELD @ TAYLOR,24 HOURS,KYTC,1,148823933639,,POINT (-85.78275221056154 38.1985913569749)
412,413,MPW017050,SIG017050,DATA VAULT,ENGLISH STATION,M,,,DATA VAULT @ ENGLISH STATION,24 HOURS,METRO,1,1679093940,,POINT (-85.51058948467622 38.24540789970777)
413,414,MPW017125,SIG017125,SHELBYVILLE,I 265 RAMP,S,US-60,11.97,SHELBYVILLE @ I 265 RAMP,24 HOURS,KYTC,1,1805940999,,POINT (-85.5047078701445 38.242108010562276)
414,415,MPW017688,SIG017688,FLAT ROCK,SHELBYVILLE,S,US 60,15.426,FLAT ROCK @ SHELBYVILLE,24 HOURS,KYTC,1,5802236594,,POINT (-85.44420723784201 38.235876598603745)
415,416,MPW010062,SIG010062,CANNONS,I 64 RAMP,S,KY-2048,10.53,CANNONS @ I 64 RAMP,24 HOURS,KYTC,1,12900936999,,POINT (-85.65757973073278 38.23468994990958)
416,417,MPW012238,SIG012238,U S HIGHWAY 42,TIMBER RIDGE,S,US-42,10.02,U S HIGHWAY 42 @ TIMBER RIDGE,24 HOURS,KYTC,1,14926712823,,POINT (-85.62033964159811 38.3383445070398)
417,418,MPW012691,SIG012691,NEW LA GRANGE,WASHBURN,S,KY-146,0.45,NEW LA GRANGE @ WASHBURN,24 HOURS,KYTC,1,25244625704,,POINT (-85.61195193755589 38.25423414538564)
418,419,MPW009622,SIG009622,BROWNSBORO,CHENOWETH,S,US-42,3.89,BROWNSBORO @ CHENOWETH,24 HOURS,KYTC,1,22020724109,,POINT (-85.66585886618347 38.26582232875552)
419,420,MPW009183,SIG009183,BARDSTOWN,BRIGHTON,S,US-31E,12.253,BARDSTOWN @ BRIGHTON,24 HOURS,KYTC,1,33310384068,,POINT (-85.6735162354859 38.21407358128523)
420,421,MPW009322,SIG009322,BARDSTOWN,I 264 RAMP,S,I-264,15.674000000000001,BARDSTOWN @ I 264 RAMP,24 HOURS,KYTC,1,34500384999,,POINT (-85.67065857635671 38.21052120004635)
421,422,MPW009408,SIG009408,BARDSTOWN,GOLDSMITH,S,US-31E,11.773,BARDSTOWN @ GOLDSMITH,24 HOURS,KYTC,1,35130384258,,POINT (-85.668997455028 38.20842981081496)
422,423,MPW009846,SIG009846,BUECHEL,HIKES,S,US-31E,10.97,BUECHEL @ HIKES,24 HOURS,KYTC,1,38810827293,,POINT (-85.66103080219408 38.19837312144273)
423,424,MPW012568,SIG012568,LYNDON,WESTPORT,S,KY-1447,3.0,LYNDON @ WESTPORT,24 HOURS,KYTC,1,43582774713,,POINT (-85.61427965655292 38.271021482815826)
424,425,MPW014568,SIG014568,HURSTBOURNE PKY,HURSTBOURNE TRCE,S,KY-1747,13.870000000000001,HURSTBOURNE PKY @ HURSTBOURNE TRCE,24 HOURS,KYTC,1,47749125918,,POINT (-85.579183116568 38.25144295276478)
425,426,MPW013455,SIG013455,LYNDON,SHELBYVILLE,S,US-60,6.66,LYNDON @ SHELBYVILLE,24 HOURS,KYTC,1,59232774594,,POINT (-85.59885873622673 38.24818253899762)
426,427,MPW011080,SIG011080,FURMAN,HIKES,M,,,FURMAN @ HIKES,24 HOURS,METRO,1,50842349293,,POINT (-85.63938590412666 38.21197242612528)
427,428,MPW016349,SIG016349,PLANTSIDE,BLANKENBAKER,S,KY-913,1.81,PLANTSIDE @ BLANKENBAKER,24 HOURS,KYTC,1,51505094762,,POINT (-85.53883906946723 38.21033377246104)
428,429,MPW012325,SIG012325,SHELBYVILLE,I 264 RAMP,S,US-60,5.64,SHELBYVILLE @ I 264 RAMP,24 HOURS,KYTC,1,52665940999,,POINT (-85.61734694685639 38.24975667703618)
429,430,MPW011854,SIG011854,SHELBYVILLE,SHERBURN,S,US-60,5.21,SHELBYVILLE @ SHERBURN,24 HOURS,KYTC,1,52915940595,,POINT (-85.6252290182763 38.25042147684879)
430,431,MPW015626,SIG015626,ELECTRON,WATTERSON,S,KY-1819,10.43,ELECTRON @ WATTERSON,24 HOURS,KYTC,1,54453665735,,POINT (-85.55979615390369 38.2027936401488)
431,432,MPW014102,SIG014102,S HURSTBOURNE PKY,HURSTBOURNE,S,KY-1747,11.290000000000001,S HURSTBOURNE PKY @ HURSTBOURNE,24 HOURS,KYTC,1,56083042912,,POINT (-85.58698918501935 38.217564406620255)
432,433,MPW014998,SIG014998,BROWNSBORO,I 265 RAMP,S,KY-22,3.66,BROWNSBORO @ I 265 RAMP,24 HOURS,KYTC,1,71900724999,,POINT (-85.57289338232515 38.309011866203726)
433,434,MPW010581,SIG010581,BUECHEL BANK,BUECHEL,S,US-31E,10.040000000000001,BUECHEL BANK @ BUECHEL,24 HOURS,KYTC,1,2,,POINT (-85.64770674856148 38.19073316966835)
434,435,MPW009924,SIG009924,BUECHEL BANK,SHEPHERDSVILLE,S,KY-1703,0.0,BUECHEL BANK @ SHEPHERDSVILLE,24 HOURS,KYTC,1,2,,POINT (-85.65938238304851 38.1787821690888)
435,436,MPW009866,SIG009866,POPLAR LEVEL,SHEPHERDSVILLE,S,KY-864,7.42,POPLAR LEVEL @ SHEPHERDSVILLE,24 HOURS,KYTC,1,90845123594,,POINT (-85.65997562451709 38.16003769366131)
436,437,MPW013096,SIG013096,HURSTBOURNE,AMBROSSE,S,KY-1747,9.39,HURSTBOURNE @ AMBROSSE,24 HOURS,KYTC,1,103229126979,,POINT (-85.6037354686152 38.195886778298515)
437,438,MPW009122,SIG009122,COOPER CHAPEL,PRESTON,S,KY-61,1.4,COOPER CHAPEL @ PRESTON,24 HOURS,KYTC,1,108751273514,,POINT (-85.67259696260327 38.103511973364775)
438,439,MPW013017,SIG013017,STONY BROOK,HURSTBOURNE,S,KY-1747,7.640000000000001,STONY BROOK @ HURSTBOURNE,24 HOURS,KYTC,1,114088946912,,POINT (-85.60443049329034 38.171137495304265)
439,440,MPW015123,SIG015123,BILLTOWN,MAPLE,JT,,,BILLTOWN @ MAPLE,24 HOURS,JEFFERSONTOWN,1,116920188417,,POINT (-85.56849404762099 38.19233478837355)
440,441,MPW015311,SIG015311,GAUDET,RUCKRIEGEL,S,KY-1819,9.120000000000001,GAUDET @ RUCKRIEGEL,24 HOURS,KYTC,1,117403682888,,POINT (-85.56529036850198 38.18843704825996)
441,442,MPW002852,SIG002852,34TH,RIVER PARK,M,,,34TH @ RIVER PARK,24 HOURS,METRO,1,1278855356448,,POINT (-85.80753954499949 38.25446424843065)
442,443,MPW008671,SIG008671,BROWNSBORO,HILLCREST,S,US-42,2.747,BROWNSBORO @ HILLCREST,24 HOURS,KYTC,1,126070724293,,POINT (-85.68576905339135 38.26060397871684)
443,444,MPW003154,SIG003154,30TH,MUHAMMAD ALI,M,,,30TH @ MUHAMMAD ALI,24 HOURS,METRO,1,127486444701,,POINT (-85.80053574574968 38.25590832126402)
444,445,MPW004324,SIG004324,BROADWAY,18TH,S,US 150,1.07,BROADWAY @ 18TH,24 HOURS,KYTC,1,129980702188,,POINT (-85.78150712735916 38.24894119608844)
