,OBJECTID,UNITID,SIGID,MAINSTREET,CROSSSTREE,OWNER2,ROUTE,MILEPOINT,DESCRIPTIO,TIMES,OWNER,TYPE,INTID,ATMSID,geometry
196,197,MPW004449,SIG004449,18TH,MAIN,S,US 31W,20.662000000000003,18TH @ MAIN,24 HOURS,KYTC,1,126191882413,,POINT (-85.77969960620922 38.259191389691395)
197,198,MPW004005,SIG004005,MARKET,22ND,S,US 31W,20.2009,MARKET @ 22ND,24 HOURS,KYTC,1,126434214658,,POINT (-85.78656636070511 38.2585418534895)
198,199,MPW007745,SIG007745,BROWNSBORO,CLIFTON,S,US-42,1.685,BROWNSBORO @ CLIFTON,24 HOURS,KYTC,1,127280724118,,POINT (-85.70464292316132 38.25882117604785)
199,200,MPW004744,SIG004744,15TH,JEFFERSON,M,,,15TH @ JEFFERSON,24 HOURS,METRO,1,127622204332,,POINT (-85.77521966695794 38.25584463426669)
200,201,MPW004025,SIG004025,CHESTNUT,DR W J HODGE,S,US-31W,19.846,CHESTNUT @ DR W J HODGE,24 HOURS,KYTC,1,128731114657,,POINT (-85.78601488712752 38.25206574599284)
201,202,MPW004355,SIG004355,CHESTNUT,18TH,M,,,CHESTNUT @ 18TH,24 HOURS,METRO,1,128961114188,,POINT (-85.7810569507147 38.251499689262324)
202,203,MPW003187,SIG003187,BROADWAY,29TH,M,,,BROADWAY @ 29TH,24 HOURS,METRO,1,129760702657,,POINT (-85.79994010150459 38.24962303581867)
203,204,MPW007160,SIG007160,LEXINGTON,PAYNE,M,,,LEXINGTON @ PAYNE,24 HOURS,METRO,1,129793838499,,POINT (-85.72069789600022 38.250596307308996)
204,205,MPW003290,SIG003290,BROADWAY,28TH,M,,,BROADWAY @ 28TH,24 HOURS,METRO,1,129800702657,,POINT (-85.7982821634455 38.249573789294566)
205,206,MPW003876,SIG003876,MAPLE,22ND,S,US-31W,19.42,MAPLE @ 22ND,24 HOURS,KYTC,1,130494172658,,POINT (-85.78855989816299 38.247214049359144)
206,207,MPW005461,SIG005461,7TH,YORK,M,,,7TH @ YORK,24 HOURS,METRO,1,131195899743,,POINT (-85.76368508845201 38.24471823718201)
207,208,MPW003841,SIG003841,GARLAND,22ND,S,US-31W,19.2,GARLAND @ 22ND,24 HOURS,KYTC,1,131272482658,,POINT (-85.78910841504465 38.24409223902481)
208,209,MPW005214,SIG005214,CAWTHON,9TH,M,,,CAWTHON @ 9TH,24 HOURS,METRO,1,131373126456,,POINT (-85.76720778959434 38.2442912912721)
