X,Y,OBJECTID,UNITID,SIGID,MAINSTREET,CROSSSTREET,OWNER2,ROUTE,MILEPOINT,DESCRIPTION,TIMES,OWNER,TYPE,INTID,ATMSID
-85.8369317712681,38.1506123715058,774,MPW001649,SIG001649,DIXIE,ST PAULS CHURCH,S, US-31W,12.02,DIXIE @ ST PAULS CHURCH,24 HOURS,KYTC,1, 2298216125808,
-85.8194032200223,38.1518190083912,775,MPW002202,SIG002202,BLANTON,ST ANDREWS CHURCH,S,KY-1931,4.41,BLANTON @ ST ANDREWS CHURCH,24 HOURS,KYTC,1, 2302505515780,
-85.8865674044476,38.0623033376878,776,MPW000184,SIG000184,DIXIE,PENDLETON,S, US-31W,5.29,DIXIE @ PENDLETON,24 HOURS,KYTC,1, 2317316125018,
-85.8233288395305,38.1743373014829,777,MPW002066,SIG002066,DIXIE,ROCKFORD,S, US-31W,13.84,DIXIE @ ROCKFORD,24 HOURS,KYTC,1, 2369016125560,
-85.7678366763655,38.2357241905174,778,MPW005159,SIG005159,OAK,9TH STREET RAMP,M,,,OAK @ 9TH STREET RAMP,24 HOURS,METRO,1, 995464719E701,
-85.5797992716728,38.2560321290784,779,MPW017849,SIG017849,PORTER,HURSTBOURNE,S,KY-1747,14.25,PORTER @ HURSTBOURNE,24 HOURS,KYTC,1,27931E9179125,
-85.8118342323617,38.2302843770457,780,MPW002654,SIG002654,LOUIS COLEMAN JR,YOUNG,M,,,LOUIS COLEMAN JR @ YOUNG,24 HOURS,METRO,1,28185E9857435,
-85.6515522150405,38.1781051261895,781,MPW017880,SIG017880,PROGRESS,BUECHEL BANK,M,,,PROGRESS @ BUECHEL BANK,24 HOURS,METRO,1,2,
-85.7276569854752,38.235737845784,782,MPW006964,SIG006964,BARRET,OAK,M,,,BARRET @ OAK,24 HOURS,METRO,1, 1515703954718,
-85.68790093791,38.2453764179022,783,MPW008569,SIG008569,ALTA VISTA,LEXINGTON,S,US-60,8.746,ALTA VISTA @ LEXINGTON,24 HOURS,KYTC,1, 1524400893838,
-85.7952666098518,38.2164695178028,784,MPW003410,SIG003410,DIXIE,WATHEN,S, US-31W,17.18,DIXIE @ WATHEN,24 HOURS,KYTC,1, 1542316127057,
-85.7761945356168,38.2063366541304,785,MPW004623,SIG004623,CENTRAL,TAYLOR,S,US-60,2.293,CENTRAL @ TAYLOR,24 HOURS,KYTC,1, 1544510416392,
-85.7655685340343,38.205159724976,786,MPW005276,SIG005276,CENTRAL,4TH,M,,,CENTRAL @ 4TH,24 HOURS,METRO,1, 1545210412305,
-85.7329419211339,38.2512029949243,787,MPW006785,SIG006785,BAXTER,CHESTNUT,S,US-31,15.997,BAXTER @ CHESTNUT,24 HOURS,KYTC,1, 1553404171113,
-85.7317104926643,38.2497806431558,788,MPW006828,SIG006828,BAXTER,LIBERTY,S,US-31E,16.422,BAXTER @ LIBERTY,24 HOURS,KYTC,1, 1553804173844,
-85.7633792216722,38.2464488529463,789,MPW005479,SIG005479,BROADWAY,7TH,S,US 150,2.06,BROADWAY @ 7TH,24 HOURS,KYTC,1, 1555507025899,
-85.7583845237219,38.2460867161714,790,MPW005711,SIG005711,BROADWAY,4TH,S,US 150,2.381,BROADWAY @ 4TH,24 HOURS,KYTC,1, 1556007022305,
-85.7316132130084,38.197660260452,791,MPW006790,SIG006790,PHILLIPS,PRESTON,S,KY-61,8.768,PHILLIPS @ PRESTON,24 HOURS,KYTC,1, 1568850515144,
-85.693947774154,38.2245780367361,792,MPW008246,SIG008246,BARDSTOWN,DOUGLASS,S,US-31E,13.643,BARDSTOWN @ DOUGLASS,24 HOURS,KYTC,1, 1587203841665,
-85.7508968445595,38.2259746746852,793,MPW006013,SIG006013,BURNETT,HILL,M,,,BURNETT @ HILL,24 HOURS,METRO,1, 1617807742933,
-85.7504709814239,38.2409654034291,794,MPW006047,SIG006047,BRECKINRIDGE,FLOYD,M,,,BRECKINRIDGE @ FLOYD,24 HOURS,METRO,1, 1628306572254,
-85.7463969463564,38.2405307150882,795,MPW006189,SIG006189,BRECKINRIDGE,JACKSON,S,KY-61,11.967,BRECKINRIDGE @ JACKSON,24 HOURS,KYTC,1, 1629106573292,
-85.7509939007007,38.2380025546322,796,MPW006019,SIG006019,FLOYD,KENTUCKY,M,,,FLOYD @ KENTUCKY,24 HOURS,METRO,1, 1633922543531,
-85.7488354075666,38.2377692036129,797,MPW006103,SIG006103,KENTUCKY,PRESTON,S,KY-61,11.84,KENTUCKY @ PRESTON,24 HOURS,KYTC,1, 1634335315143,
-85.732439444727,38.2418785193338,798,MPW006795,SIG006795,BARRET,ST ANTHONY,M,,,BARRET @ ST ANTHONY,24 HOURS,METRO,1, 1636303955781,
-85.7445699001732,38.2511199108463,799,MPW006287,SIG006287,JACKSON,LIBERTY,S,KY-61,12.7,JACKSON @ LIBERTY,24 HOURS,KYTC,1, 1639732923844,
-85.7425501955323,38.2509002864775,800,MPW006379,SIG006379,HANCOCK,LIBERTY,M,,,HANCOCK @ LIBERTY,24 HOURS,METRO,1, 1639927963844,
-85.7395146769482,38.24468590423,801,MPW006524,SIG006524,BROADWAY,SHELBY,S,US 150,3.404,BROADWAY @ SHELBY,24 HOURS,KYTC,1, 1648007015937,
-85.7166628004897,38.2568060913674,802,MPW007285,SIG007285,FRANKFORT,POPE,S,US-60,0.123,FRANKFORT @ POPE,24 HOURS,KYTC,1, 1657223235117,
-85.7605904164878,38.2420553582947,803,MPW005613,SIG005613,BRECKINRIDGE,5TH,M,,,BRECKINRIDGE @ 5TH,24 HOURS,METRO,1, 1664906582207,
-85.7553759519779,38.2536621000608,804,MPW005831,SIG005831,JEFFERSON,3RD,M,KY-1020,12.638,JEFFERSON @ 3RD,24 HOURS,METRO,1, 1669433276438,
-85.7631551530405,38.2573512287977,805,MPW005502,SIG005502,8TH,MAIN,S,US 31W,21.57,8TH @ MAIN,24 HOURS,KYTC,1, 1670418844139,
