intid,main_street,cross_street,longitude,latitude,description
1673438456438,LIBERTY,3RD,-85.7555005654007,38.2528899647386,LIBERTY @ 3RD
1674158997012,7TH,MUHAMMAD ALI,-85.7624598811642,38.251687595603,7TH @ MUHAMMAD ALI
1674864387012,3RD,MUHAMMAD ALI,-85.7558432041105,38.250959138549,3RD @ MUHAMMAD ALI
1675719084139,MAIN ST,S 2ND ST,-85.7533443866858,38.2562816997453,MAIN ST @ S 2ND ST
1676122532254,E MAIN ST,FLOYD ST,-85.7478919802882,38.2556788915257,E MAIN ST @ FLOYD ST
1676833275872,JEFFERSON,2ND,-85.7538059176815,38.2534922597708,JEFFERSON @ 2ND
1677522543844,FLOYD,LIBERTY,-85.7485127053399,38.2521500844963,FLOYD @ LIBERTY
1677738445143,LIBERTY,PRESTON,-85.7465847730206,38.2513368194221,LIBERTY @ PRESTON
1678741396441,MAIN,13TH,-85.7714256147702,38.2582651011684,MAIN @ 13TH
1712051296579,PORTLAND,22ND,-85.7825384367732,38.2683960973581,PORTLAND @ 22ND
1774763929995,TAYLOR,I 264 RAMP,-85.7838066148195,38.1866512103689,TAYLOR @ I 264 RAMP
1782304805144,BELMAR,PRESTON,-85.729667785161,38.1947102747448,BELMAR @ PRESTON
1789750516280,PHILLIPS,STANDIFORD FIELD,-85.7394264165023,38.1936602638108,PHILLIPS @ STANDIFORD FIELD
1819232575144,STANDIFORD,PRESTON,-85.7208853947629,38.1824291532832,STANDIFORD @ PRESTON
1834176977771,TWIN SPIRES,HERCULES,-85.7213893427687,38.1768572667174,TWIN SPIRES @ HERCULES
1846635646438,KINGSTON,3RD,-85.7677283145564,38.1730632448191,KINGSTON @ 3RD
553,NAOMI,POPLAR LEVEL,-85.6803122841187,38.1653331062817,NAOMI @ POPLAR LEVEL
1902259786440,SHOREWOOD,3RD STREET,-85.7748925619561,38.1441195202245,SHOREWOOD @ 3RD STREET
1904944065144,MINOR,PRESTON,-85.6902359589471,38.1447714366442,MINOR @ PRESTON
1921648158358,OUTER,NOLTEMEYER WYNDE,-85.6804535715745,38.1382116503552,OUTER @ NOLTEMEYER WYNDE
1975525645144,GLEN ROSE,PRESTON,-85.6760543326518,38.1139543674648,GLEN ROSE @ PRESTON
2012705726392,BLUEGRASS,TAYLOR,-85.7832661387833,38.1796073047272,BLUEGRASS @ TAYLOR
2039944066310,MINOR,SOUTH PARK,-85.7149959590363,38.1158026352512,MINOR @ SOUTH PARK
2044305776310,BLUE LICK,SOUTH PARK,-85.6894939124822,38.1163494861298,BLUE LICK @ SOUTH PARK
2044428614163,HAZELWOOD,MANSLICK,-85.7975510337527,38.1703766547417,HAZELWOOD @ MANSLICK
2064721909227,FERN VALLEY,SIGNATURE,-85.7144295880607,38.1573110855347,FERN VALLEY @ SIGNATURE
2074761936427,STRAWBERRY,THALIA,-85.7646808477585,38.1581242470601,STRAWBERRY @ THALIA
2080375869366,KENWOOD,KNOLL GATE,-85.7791763257403,38.1616255075886,KENWOOD @ KNOLL GATE
2088801946052,ASHLAND,SOUTHERN,-85.7674231768064,38.1852381320854,ASHLAND @ SOUTHERN
2092913581612,CRUMS,DIXIE,-85.8080205718338,38.1920406776661,CRUMS @ DIXIE
2183216123540,DIXIE,KERRICK,-85.8357893461156,38.1533745923258,DIXIE @ KERRICK
2236549356440,PAGES,3RD STREET,-85.8352350556059,38.1152348863989,PAGES @ 3RD STREET
2247259956179,SILVERWOOD,STONESTREET,-85.8349392521666,38.1072607466491,SILVERWOOD @ STONESTREET
224936826E239,VALLEY STATION,RENAISSANCE VALLEY,-85.8613956119964,38.1056883044639,VALLEY STATION @ RENAISSANCE VALLEY
2282483248382,GREENBELT,RIVERPORT,-85.8816471079844,38.1611622503945,GREENBELT @ RIVERPORT
2285539698324,LOWER HUNTERS,GREENBELT,-85.8760176083615,38.1701854676881,LOWER HUNTERS @ GREENBELT
2290216127130,DIXIE,PAGES,-85.8478557555629,38.1301768905713,DIXIE @ PAGES
2479772919126,WATTERSON,HURSTBOURNE,-85.6129677857424,38.1628668889645,WATTERSON @ HURSTBOURNE
2762160522810,SOUTHERN,HARLAN,-85.7645170432031,38.2015820429909,SOUTHERN @ HARLAN
28256E9916394,GOODWILL,TAYLORSVILLE,-85.6221158165552,38.219658111826,GOODWILL @ TAYLORSVILLE
291049998F271,I 65 RAMP,UNIVERSITY,-85.7548988000918,38.2158662986266,I 65 RAMP @ UNIVERSITY
1510013742934,CYPRESS,HILL,-85.7986093320999,38.2303321420719,CYPRESS @ HILL
1517403841835,BARDSTOWN,EASTERN,-85.709323306285,38.2319999324015,BARDSTOWN @ EASTERN
1519303951835,BARRET,EASTERN,-85.7204359795869,38.2265222701031,BARRET @ EASTERN
1522726639997,GRINSTEAD,I 64 RAMP,-85.7000916277688,38.2478426072171,GRINSTEAD @ I 64 RAMP
154274552D266,NEWBURG,BELLARMINE,-85.7077865082212,38.216987045063,NEWBURG @ BELLARMINE
1544110412254,CENTRAL,FLOYD,-85.7571178424595,38.2031267990526,CENTRAL @ FLOYD
1551609244138,CAMPBELL,MAIN,-85.7357739777715,38.2543605917677,CAMPBELL @ MAIN
1552804174213,BAXTER,MARKET,-85.7325559088266,38.2525957523572,BAXTER @ MARKET
1558799549997,I 64 WEST,I 64 RAMP,-85.7339267970288,38.262563869535,I 64 WEST @ I 64 RAMP
1561711146009,CHESTNUT,6TH,-85.761192019323,38.2493168920326,CHESTNUT @ 6TH
1562111142305,CHESTNUT,4TH,-85.75787724146,38.2489523296472,CHESTNUT @ 4TH
1567405404552,BISHOP,NEWBURG,-85.6859580814534,38.2008344278998,BISHOP @ NEWBURG
