,longitude,latitude,row_ID,unit_ID,sig_ID,main_street,cross_street,route,milepoint,times,owner,type,int_ID,ATMSID
412,-85.5105894846762,38.2454078997078,413,MPW017050,SIG017050,DATA VAULT,ENGLISH STATION,,,24 HOURS,METRO,1,   16790939409,
413,-85.5047078701445,38.2421080105623,414,MPW017125,SIG017125,SHELBYVILLE,I 265 RAMP,US-60,11.97,24 HOURS,KYTC,1,   18059409996,
414,-85.444207237842,38.2358765986037,415,MPW017688,SIG017688,FLAT ROCK,SHELBYVILLE,US-60,15.426,24 HOURS,KYTC,1,   58022365940,
415,-85.6575797307328,38.2346899499096,416,MPW010062,SIG010062,CANNONS,I 64 RAMP,KY-2048,10.53,24 HOURS,KYTC,1,  129009369997,
416,-85.6203396415981,38.3383445070398,417,MPW012238,SIG012238,U S HIGHWAY 42,TIMBER RIDGE,US-42,10.02,24 HOURS,KYTC,1,  149267128230,
417,-85.6119519375559,38.2542341453856,418,MPW012691,SIG012691,NEW LA GRANGE,WASHBURN,KY-146,0.45,24 HOURS,KYTC,1,  252446257042,
418,-85.6658588661835,38.2658223287555,419,MPW009622,SIG009622,BROWNSBORO,CHENOWETH,US-42,3.89,24 HOURS,KYTC,1,  220207241093,
419,-85.6735162354859,38.2140735812852,420,MPW009183,SIG009183,BARDSTOWN,BRIGHTON,US-31E,12.253,24 HOURS,KYTC,1,  333103840685,
420,-85.6706585763567,38.2105212000464,421,MPW009322,SIG009322,BARDSTOWN,I 264 RAMP,I-264,15.674,24 HOURS,KYTC,1,  345003849995,
421,-85.668997455028,38.208429810815,422,MPW009408,SIG009408,BARDSTOWN,GOLDSMITH,US-31E,11.773,24 HOURS,KYTC,1,  351303842585,
422,-85.6610308021941,38.1983731214427,423,MPW009846,SIG009846,BUECHEL,HIKES,US-31E,10.97,24 HOURS,KYTC,1,  388108272930,
423,-85.6142796565529,38.2710214828158,424,MPW012568,SIG012568,LYNDON,WESTPORT,KY-1447,3.0,24 HOURS,KYTC,1,  435827747132,
424,-85.579183116568,38.2514429527648,425,MPW014568,SIG014568,HURSTBOURNE PKY,HURSTBOURNE TRCE,KY-1747,13.87,24 HOURS,KYTC,1,  477491259183,
425,-85.5988587362267,38.2481825389976,426,MPW013455,SIG013455,LYNDON,SHELBYVILLE,US-60,6.66,24 HOURS,KYTC,1,  592327745940,
426,-85.6393859041267,38.2119724261253,427,MPW011080,SIG011080,FURMAN,HIKES,,,24 HOURS,METRO,1,  508423492930,
427,-85.5388390694672,38.210333772461,428,MPW016349,SIG016349,PLANTSIDE,BLANKENBAKER,KY-913,1.81,24 HOURS,KYTC,1,  515050947624,
428,-85.6173469468564,38.2497566770362,429,MPW012325,SIG012325,SHELBYVILLE,I 264 RAMP,US-60,5.64,24 HOURS,KYTC,1,  526659409995,
429,-85.6252290182763,38.2504214768488,430,MPW011854,SIG011854,SHELBYVILLE,SHERBURN,US-60,5.21,24 HOURS,KYTC,1,  529159405950,
430,-85.5597961539037,38.2027936401488,431,MPW015626,SIG015626,ELECTRON,WATTERSON,KY-1819,10.43,24 HOURS,KYTC,1,  544536657355,
431,-85.5869891850193,38.2175644066203,432,MPW014102,SIG014102,S HURSTBOURNE PKY,HURSTBOURNE,KY-1747,11.29,24 HOURS,KYTC,1,  560830429126,
432,-85.5728933823251,38.3090118662037,433,MPW014998,SIG014998,BROWNSBORO,I 265 RAMP,KY-22,3.66,24 HOURS,KYTC,1,  719007249996,
433,-85.6477067485615,38.1907331696683,434,MPW010581,SIG010581,BUECHEL BANK,BUECHEL,US-31E,10.04,24 HOURS,KYTC,1,2,
